;back translation table November 2, 2002
;send any additions or corrections to n8kl@mindspring.com

;format: type|match|replace
;match strings MUST be in lexical order!

;descriptions of types:
;1-use anywhere
;2-must be exact match
;3-at beginning or all
;4-only in middle
;5-6 not defined for back translation
;7-not at beginning
;8-9 not defined
;10-only at end
;types 11, 12, 15 and 16 are not defined for back translation.
;13 following character considered beginning of word, used in italics
;14 computer braille indicator i.e. _: _+ _< _>
;17 case specification back trans only
;18 beginning braille number back trans only
;19 number
;types 21-30 are not used for back translation.
;Note that the rules for letters are relaxed for back translation so that
;the first match string of a letter does not have to be a single letter.
;see the first entry for o.

;options for back translation:
ve=7.74
ca=|| should always be used
em=3 must be in back translation mode to use this table
oc=1 should always be used
pd=0
pf=0 don't output file name or date
le="" make sure .efl file is not active
ob=le=256 ignore any further ef= options
ls=0 outputs formfeed between pages
fs= Disable formatting commands
kf=1 causes backtranslated output to correspond with input line by line
;remove the kf= option and uncomment the following options to customize
;back translated output
;hm=13
;rw=1 rejoin hyphenated words if in dictionary
;pw=80 page width
;pl=56 page length
;rc=~o5~u indent 5 spaces for paragraphs and no page numbering
rp=31 remove braille page numbers

2|!|THE
2|!MVS|THEMSELVES
1|!|THE
1|!|!
2|"!|THERE
2|"!9AF|THEREINAFTER
2|"!ABS|THEREABOUTS
2|"!AF|THEREAFTER
1|"!|THERE
1|"*|CHARACTER
3|":AB|WHEREABOUT
1|":|WHERE
1|"?|THROUGH
1|"D|DAY
1|"E|EVER
1|"F|FATHER
2|"H|HERE
2|"H92F|HEREINBEFORE
2|"H9ABV|HEREINABOVE
2|"H9AF|HEREINAFTER
2|"HABS|hereabouts
2|"HAB|HEREABOUT
2|"HAF|HEREAFTER
1|"H|HERE
1|"K|KNOW
1|"L|LORD
1|"M|MOTHER
1|"N|NAME
2|"OF|ONESELF
1|"OS*|ONESUCH
1|"O|ONE
1|"P|PART
1|"Q|QUESTION
1|"R|RIGHT
1|"S|SOME
1|"T|TIME
1|"U|UNDER
1|"W|WORK
1|"Y|YOUNG
1|"\|OUGHT
1|"|.
1|"|"
2|#|#
10|#|BLE
2|##|##
2|###|###
19|#'|'
19|#.|.
1|#5|#5
1|#99|#*
1|#9|#9
19|#A|1
19|#B|2
19|#C|3
19|#E|5
19|#F|6
4|#GR|BLEGR
19|#G|7
19|#H|8
19|#I|9
19|#J|0
7|#|BLE
19|#|[0]
1|#|#
1|$|ED
1|$|$
2|%|SHALL
3|%D|SHOULD
1|%|SH
1|%|%
2|&!|AND[32]THE
2|&(!|AND[32]OF[32]THE
2|&(Al|AND[32]OF[32]A
2|&(|AND[32]OF
2|&)!l|AND[32]WITH[32]THE
2|&)|AND[32]WITH
2|&/OR|AND/OR
2|&=|AND[32]FOR
2|&=!|AND[32]FOR[32]THE
2|&=A|AND[32]FOR[32]A
2|&A|AND[32]A
1|&|AND
1|&|&
1|'''|...
1|',N|'N
2|'|'
1|'|'
2|(|OF
2|(!|OF[32]THE
2|(&|OF[32]AND
2|(&!|OF[32]AND[32]THE
2|(A|OF[32]A
1|(|OF
1|(|(
2|)|WITH
2|)!|WITH[32]THE
2|)a|WITH[32]a
1|)|WITH
1|)|)
2|*|CHILD
1|*@|CH`
3|*N|CHILDREN
10|*N|CHILDREN
1|*|CH
1|*|*
2|+|+
1|+|ING
1|+|+
10|,|[0]
17|,,|[0]
2|,7|WERE
1|,7|[
7|,N|ATION
7|,Y|ALLY
1|,Y/,N|Y/N
17|,|[0]
1|,|,
10|--0|--"
13|--6|--To[32]
13|--|--
2|-|-
17|-,|-
1|-3|-CON
1|-;T|COMMENT
17|-;|-
3|-|COM
19|-#|-
1|-R-R-Y|-R-R-Y
13|-|-
3|.-|COM
2|.0|WAS
3|.4|DIS
2|.7|WERE
2|.|.
13|..|[0]
7|.COM/|.COM/
7|.COM|.COM
7|.D|OUND
7|.EDU/|.EDU/
7|.EDU|.EDU
7|.E|ANCE
7|.GOV/|.GOV/
7|.GOV|.GOV
2|.K|=
7|.NET/|.NET/
7|.NET|.NET
7|.N|SION
7|.ORG/|.ORG/
7|.ORG|.ORG
7|.S|LEss
7|.T|OUNT
13|.|[0]
10|.|.
1|.|.
2|/|STILL
7|/$i|/EDI
4|/%|/SH
4|/*|/CH
7|/,N|STATION
4|/,|/
1|//|//
19|/4#|/$
19|/6#|/!
1|/:|/WH
7|/;E|STENCE
7|/;L|STFUL
7|/;S|STNESS
7|/;T|STMENT
4|/;|/
7|/h]|/HER
1|/RW|/RW
1|/S]|/SER
1|/|ST
1|/|/
10|0'|"
3|0-|BY[32]COM
3|041|BY[32]DISEA
2|0|WAS
13|0|BY[32]
4|0|"
10|0|"
1|0|0
10|10'|,"
10|10,|,",
10|10|,"
4|1|EA
1|1|,
1|1|1
2|2|BE
10|2C|BECAUSE
4|2|BB
10|2|;
2|2C|BECAUSE
2|2F|BEFORE
2|2FH&|BEFOREHAND
2|2H|BEHIND
3|2HH|BEHINDH
2|2HS|BEHINDS
3|2LD|BELOWD
3|2LG|BELOWG
2|2L|BELOW
1|2LL|BELITTLE
2|2N|BENEATH
2|2S|BESIDE
2|2SS|BESIDES
3|2TA|BETA
3|2TE|BETE
3|2TI|BETI
3|2TO|BETO
3|2TR|BETR
3|2TWI|BETWI
3|2T|BETWEEN
2|2Y|BEYOND
3|2|BE
1|2|2
10|3|:
3|3CVG|CONCEIVING
3|3CV|CONCEIVE
3|3|CON
4|3|CC
1|3|3
1|4,,|.
1|4,Y4|.y.
1|4,|.
2|4|.
19|4#|$
3|4A#|DISABLE
3|4|DIS
7|4$|DDED
7|4+|DDING
7|45|DDEN
1|4;T|DDMENT
1|4;Y|ddity
7|4>|DDAR
4|4A|DDA
4|4E|DDE
10|4EXE|.EXE
4|4I|DDI
4|4L|DDL
4|4O|DDO
7|4RESS|DDRESS
10|4S|DDS
4|4U|DDU
7|4Y|DDY
7|4]|DDER
1|4|.
1|4|4
2|5|ENOUGH
1|5|EN
